filename,n_bigram,n_trigram,n_freq_pos_seq,n_subj_el_big,n_subj_el_total,hypernym_count,hypernym_count_sent,hyponyms_count,hyponyms_count_sent,nErrors,nErrorsTokens,ntokens,fleshscore,avgWordLength,nSpelling,nSpellingTokens,nLongSentence,nStyleErrors,nStyleperSent,nvoc,similarityprompt,countDemonstrativo,demonstrativoPerSent,countEnclise,enclisePerSent,fstPerson,fstPessoaPerSent,countDiscourseMarkers,discourseSent,understandingGrade,selectinginfoGrade,showknowGrade,solutionGrade,formalGrade,finalGrade
/o-voto-nulo-e-um-ato-politico-valido/xml/valido-ou-nao.xml,10,3,0,0,35,44,6.285714285714287,82,11.714285714285715,20,0.0797,251.0,90.0836033678055,52.0,4.0,0.01593625498007968,6.0,26,3.0,135,0.19,0,0.0,1,0.14285715,1,0.14285715,13,1.8571428,0.5,0.5,1.0,0.5,1.0,3.5
/o-voto-nulo-e-um-ato-politico-valido/xml/eleger-o-candidato-em-branco.xml,4,0,0,2,49,21,4.2,108,21.6,21,0.101,208.0,111.76673232078554,52.0,12.0,0.0576923076923077,5.0,22,4.0,116,0.31,0,0.0,1,0.2,1,0.2,7,1.4,0.5,0.5,0.5,0.0,0.5,2.0
/o-voto-nulo-e-um-ato-politico-valido/xml/a-hora-do-basta-chegou.xml,7,0,0,2,132,52,5.2,101,10.1,22,0.0638,345.0,104.15674336910247,52.0,7.0,0.02028985507246377,10.0,37,3.0,166,0.22,2,0.2,0,0.0,2,0.2,9,0.9,1.0,1.0,1.0,1.0,1.0,5.0
/o-voto-nulo-e-um-ato-politico-valido/xml/construindo-o-futuro.xml,4,1,0,2,48,44,3.6666666666666665,217,18.08333333333333,3,0.0112,268.0,92.57753911972048,52.0,2.0,0.00746268656716418,8.0,10,0.0,145,0.26,3,0.25,4,0.33333334,2,0.16666667,7,0.5833333,1.5,1.5,1.5,1.0,1.5,7.0
/o-voto-nulo-e-um-ato-politico-valido/xml/protestar-so-na-urna-.xml,5,0,0,0,18,27,2.7,108,10.8,13,0.0578,225.0,99.9390008068085,52.0,2.0,0.008888888888888889,7.0,19,1.0,126,0.31,2,0.2,0,0.0,0,0.0,4,0.4,2.0,1.5,1.5,2.0,1.5,8.5
/o-voto-nulo-e-um-ato-politico-valido/xml/democracia-para-todos.xml,5,1,0,0,38,49,4.9,87,8.7,19,0.0613,310.0,96.28210106849673,52.0,0.0,0.0,10.0,25,2.0,157,0.21,3,0.3,0,0.0,1,0.1,15,1.5,1.0,1.0,1.5,1.0,1.0,5.5
/o-voto-nulo-e-um-ato-politico-valido/xml/voto.xml,4,0,0,2,67,46,4.181818181818182,94,8.545454545454545,6,0.0229,262.0,83.8327135419846,52.0,6.0,0.022900763358778626,9.0,8,0.0,134,0.25,0,0.0,3,0.27272728,1,0.09090909,8,0.72727275,0.5,1.0,1.0,0.5,1.5,4.5
/o-voto-nulo-e-um-ato-politico-valido/xml/votar-nulo-e-nao-agir.xml,4,0,0,0,20,36,4.0,160,17.777777777777782,0,0.0,214.0,95.84340904712678,52.0,3.0,0.014018691588785048,7.0,5,0.0,119,0.33,0,0.0,0,0.0,1,0.11111111,6,0.6666667,1.0,0.5,0.5,1.0,1.0,4.0
/o-voto-nulo-e-um-ato-politico-valido/xml/voto-nulo-protesto-ou-ignorancia.xml,13,0,0,5,81,69,6.2727272727272725,204,18.545454545454547,9,0.0227,397.0,98.387649307251,52.0,12.0,0.030226700251889168,10.0,24,2.0,189,0.2,1,0.09090909,2,0.18181819,3,0.27272728,17,1.5454545,2.0,2.0,2.0,2.0,1.5,9.5
/o-voto-nulo-e-um-ato-politico-valido/xml/o-voto-nulo-alternativa-regada-de-mudancas.xml,2,0,0,0,17,29,5.8,108,21.6,5,0.0275,182.0,93.11521645545959,51.0,1.0,0.005494505494505495,5.0,9,1.0,103,0.24,1,0.2,1,0.2,2,0.4,10,2.0,0.5,0.5,0.5,0.0,0.5,2.0
/o-voto-nulo-e-um-ato-politico-valido/xml/voto-nulo-uma-opcao-do-eleitor.xml,7,0,0,2,25,27,6.75,56,14.0,14,0.0848,165.0,87.83863862514498,53.0,1.0,0.006060606060606061,4.0,15,3.0,102,0.44,2,0.5,1,0.25,0,0.0,5,1.25,0.5,0.5,1.0,0.5,1.0,3.5
/o-voto-nulo-e-um-ato-politico-valido/xml/sem-titulo-.xml,10,4,0,1,40,53,5.8888888888888875,221,24.555555555555557,35,0.1237,283.0,89.79896133899693,52.0,22.0,0.07773851590106008,9.0,45,5.0,163,0.27,3,0.33333334,2,0.22222222,1,0.11111111,10,1.1111111999999999,0.5,0.5,0.5,0.5,0.5,2.5
/o-voto-nulo-e-um-ato-politico-valido/xml/ato-de-suicidio-politico.xml,7,1,0,0,29,49,4.454545454545454,340,30.90909090909091,5,0.0187,268.0,106.1514159536362,51.0,3.0,0.011194029850746268,7.0,11,1.0,133,0.23,0,0.0,2,0.18181819,0,0.0,7,0.6363635999999999,2.0,2.0,1.0,1.0,1.5,7.5
/o-voto-nulo-e-um-ato-politico-valido/xml/diga-nao-ao-sistema.xml,4,0,0,2,57,30,7.5,81,20.25,16,0.0748,214.0,89.12284575462343,52.0,7.0,0.032710280373831765,4.0,27,6.0,125,0.29,1,0.25,0,0.0,0,0.0,5,1.25,1.5,1.0,1.5,1.0,1.0,6.0
/o-voto-nulo-e-um-ato-politico-valido/xml/nulo-uma-forma-de-protesto.xml,4,0,0,1,63,42,5.25,132,16.5,28,0.1004,279.0,100.55758086204531,52.0,14.0,0.05017921146953405,7.0,33,4.0,158,0.28,1,0.125,1,0.125,0,0.0,8,1.0,1.5,1.0,1.0,0.5,0.5,4.5
/o-voto-nulo-e-um-ato-politico-valido/xml/quando-a-opcao-e-nao-votar.xml,2,1,1,1,50,45,5.625,216,27.0,4,0.0134,299.0,85.01091612339022,53.0,7.0,0.023411371237458192,9.0,7,0.0,158,0.23,4,0.5,4,0.5,2,0.25,12,1.5,2.0,1.5,2.0,1.0,2.0,8.5
/o-voto-nulo-e-um-ato-politico-valido/xml/tenha-a-liberdade-no-voto.xml,6,0,1,0,23,42,3.5,145,12.083333333333336,8,0.0268,298.0,98.37191654205324,52.0,2.0,0.006711409395973154,10.0,11,0.0,148,0.26,2,0.16666667,1,0.083333336,1,0.083333336,8,0.6666667,1.0,1.0,1.0,1.0,1.0,5.0
/o-voto-nulo-e-um-ato-politico-valido/xml/analise-subjetiva-do-voto-nulo-de-acordo-com-a-constituicao-de-.xml,10,0,0,0,66,63,3.9375,233,14.5625,3,0.0078,383.0,90.67939108371739,52.0,7.0,0.01827676240208877,15.0,13,0.0,199,0.16,4,0.25,3,0.1875,3,0.1875,9,0.5625,2.0,2.0,2.0,0.0,2.0,8.0
/o-voto-nulo-e-um-ato-politico-valido/xml/valido-sim-racional-nao.xml,10,0,0,3,83,48,3.2,417,27.8,25,0.0681,367.0,92.77451132297516,53.0,3.0,0.008174386920980926,14.0,33,2.0,162,0.2,10,0.6666667,3,0.2,0,0.0,12,0.8,1.0,0.5,1.0,0.5,1.0,4.0
/norma-culta-x-variantes-linguisticas-qual-deve-ser-a-posicao-da-escola/xml/escola-o-caminho-para-a-universidade.xml,3,0,0,0,37,48,6.0,233,29.125,10,0.0319,313.0,88.82478044986726,52.0,3.0,0.009584664536741214,8.0,18,2.0,142,0.74,1,0.125,4,0.5,0,0.0,4,0.5,1.0,1.0,1.0,1.0,1.0,5.0
/norma-culta-x-variantes-linguisticas-qual-deve-ser-a-posicao-da-escola/xml/norma-culta-x-variantes-linguisticas.xml,7,0,0,1,43,36,3.272727272727273,161,14.636363636363635,17,0.0609,279.0,98.73822775840763,53.0,6.0,0.021505376344086027,9.0,20,2.0,157,0.83,1,0.1,0,0.0,0,0.0,8,0.8,1.0,0.5,1.0,1.0,1.5,5.0
/norma-culta-x-variantes-linguisticas-qual-deve-ser-a-posicao-da-escola/xml/correto-x-aprecado-versus-apressado.xml,4,0,0,1,49,22,2.2,101,10.1,13,0.061,213.0,116.175849852562,51.0,5.0,0.023474178403755867,8.0,19,2.0,124,1.08,4,0.44444445,1,0.11111111,1,0.11111111,5,0.5555555999999999,0.5,1.0,1.0,0.0,0.5,3.0
/norma-culta-x-variantes-linguisticas-qual-deve-ser-a-posicao-da-escola/xml/o-que-fazer.xml,2,0,0,2,38,46,3.5384615384615383,209,16.076923076923073,3,0.0101,298.0,83.89338553905489,53.0,8.0,0.026845637583892617,12.0,7,0.0,160,0.8,2,0.15384616,4,0.30769232,0,0.0,9,0.6923077,2.0,2.0,2.0,2.0,2.0,10.0
